Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50830000	159.7427278	90.9986577	81.2705707	79.4845967	61.4091634	21.0830001	7.6771549	4.1353815	0.0045663	0.0046619	-6.179
50835000	158.7631404	101.6791821	89.0087984	86.2182597	65.2506040	21.4558451	9.5464701	5.1481664	0.0030548	0.0059807	-6.381
50840000	155.2025635	99.1737652	90.7656342	88.3282874	63.3221111	22.9938553	9.8297786	4.8325695	0.0071517	0.0057735	-8.725
50845000	154.0472905	91.3187259	81.4235980	79.2943717	64.7113575	21.8542318	8.3671286	4.2913094	0.0041574	0.0054052	-7.005
50850000	151.7564424	93.6224952	84.1523718	81.9417147	64.9048149	23.1911452	6.2013971	3.2088538	0.0049894	0.0097944	-7.180
50855000	157.3958766	91.4595279	81.6748819	78.8691303	59.4623487	22.4669022	9.0892720	4.7726173	0.0093634	0.0044372	-5.482
50860000	158.4318861	94.2321074	84.0321145	81.3304925	59.1217092	25.3354478	10.1040397	5.0082935	0.0028771	0.0074332	-6.081
50865000	164.0098228	99.9611644	87.0966454	84.5948394	63.1710276	21.5262460	9.1059131	4.5235916	0.0024021	0.0033972	-5.309
50870000	155.3911146	93.9771142	85.1681470	83.0916785	64.5005919	25.5330057	7.9883100	4.0061155	0.0192203	0.0208555	-7.972
50875000	153.3309077	100.6527943	91.4273151	89.3553322	64.9782614	23.1139972	9.0155372	4.8621674	0.0045579	0.0051974	-6.232
50880000	162.2487204	92.3167991	81.0805571	79.1843317	64.8743112	22.3945898	9.4838872	5.4022337	0.0019965	0.0065939	-6.929
50885000	150.7199280	93.5432467	82.4004568	79.8875304	57.8277606	23.3280812	10.0992157	4.7125478	0.0082268	0.0109043	-7.683
50890000	152.5666380	100.1737663	88.0924230	85.8972223	64.4711783	22.0150342	7.2723690	3.6862471	0.0044384	0.0081231	-6.969
50895000	166.2698866	98.1510609	87.7587763	85.3708029	61.0864991	21.5572042	9.3842429	5.1138397	0.0031853	0.0044006	-6.319
50900000	150.0681687	94.2376072	85.6858493	83.8121138	64.7122865	24.6079780	10.8797247	5.3556115	0.0088259	0.0047119	-9.598
50905000	160.8599883	94.7419589	85.1613685	82.6128384	64.3855013	23.6824053	11.9829635	5.9981308	0.0160862	0.0137133	-9.235
50910000	156.1409580	92.3075200	84.3603183	82.5737715	65.6255170	25.7773058	11.6022413	6.1988789	0.0075321	0.0055929	-10.561
50915000	164.1722090	96.3798098	85.5723257	83.3451111	64.1161746	26.7891676	10.7274182	5.1856205	0.0036040	0.0048195	-5.509
50920000	161.8552826	95.9226789	84.9678337	83.2140142	65.0803422	24.4951370	9.6263554	5.0598237	0.0096171	0.0113055	-6.570
50925000	161.0937766	97.9337122	87.6340924	85.3181692	61.8722366	25.7606300	12.6971512	6.5243166	0.0057294	0.0080853	-13.224
50930000	163.9567741	91.7990126	84.4236300	82.6480715	59.1638877	29.1859312	14.7106564	9.1722421	0.0033553	0.0104831	-8.258
50935000	150.7255240	95.4798361	85.6548820	83.3372393	64.1462459	22.8523262	9.5103400	4.7669303	0.0036225	0.0025994	-4.217
50940000	162.8369588	99.6137206	87.0425455	84.3375022	65.0020513	22.5044634	10.6340916	5.1587482	0.0033660	0.0024003	-9.257
